kodeseasonal|tglawal|tglakhir|kodetoko|tgljt|prdcd|qtyo
PS23|2023-09-30|2023-09-30|O13N|2023-09-30|0030680|48
PS23|2023-09-30|2023-09-30|O13N|2023-09-30|0033580|36
